week,day,session,block,exercise,sets,reps,intensity,rest,tempo,duration,progression,notes
1,Fri,B,strength,Military Press,6,2,80% 1RM (65 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
1,Fri,B,strength,Weighted Pull-up,6,2,80% 1RM (32.5 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
1,Fri,B,accessory,Romanian Deadlift,3,10,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
1,Fri,B,accessory,Face Pull,3,15,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
1,Fri,B,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
2,Mon,A,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
2,Mon,A,strength,Back Squat,6,2,80% 1RM (102.5 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Mon,A,strength,Bench Press,6,2,80% 1RM (115 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Mon,A,accessory,Bulgarian Split Squat,3,10/side,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
2,Mon,A,accessory,Dips,3,8-12,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
2,Mon,A,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
2,Tue,B,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
2,Tue,B,strength,Deadlift,6,2,80% 1RM (125 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Tue,B,strength,Military Press,6,2,80% 1RM (65 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Tue,B,strength,Weighted Pull-up,6,2,80% 1RM (32.5 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Tue,B,accessory,Romanian Deadlift,3,10,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
2,Tue,B,accessory,Face Pull,3,15,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
2,Tue,B,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
2,Wed,C,warm-up,"Movement warm-up + shoulder mobility (band pull-aparts, face pull, arm circles)",1,-,bodyweight / light band,-,controlled,10 min,-,Session components Wk07 Ch11 p18
2,Wed,C,hypertrophy,Incline Dumbbell Press,4,8-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7 p20),push pattern; upper chest emphasis (Wk02 Ch2 p12); multi-joint first (Wk07 Ch11 p13)
2,Wed,C,hypertrophy,Cable Row (Seated or Single-arm),4,10-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5%,pull pattern; agonist/antagonist balance with pressing (Wk07 Ch11 p13)
2,Wed,C,hypertrophy,Dumbbell Shoulder Press (Seated),3,10-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5%,push pattern - vertical; hypertrophy dose (Wk07 Ch11 Table 9-12 p16)
2,Wed,C,hypertrophy,Cable Lateral Raise,3,12-15,RPE 7-8,45-60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,shoulder width; single-joint after multi-joint (Wk07 Ch11 p13)
2,Wed,C,hypertrophy,Cable Rear Delt Fly,3,12-15,RPE 7-8,45-60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,scapular stabilizer / posterior shoulder health (Wk10 Ch15 p92)
2,Wed,C,hypertrophy,EZ-Bar or Dumbbell Curl,3,10-12,RPE 7-8,60s,2-0-1,,double progression 8-12; 2-for-2 then +5%,biceps hypertrophy; single-joint isolation (Wk07 Ch11 p13)
2,Wed,C,hypertrophy,Tricep Rope Pushdown,3,12-15,RPE 7-8,60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,triceps hypertrophy; single-joint isolation
2,Wed,C,hypertrophy,Cable Pull-Through or Hamstring Curl,3,12-15,RPE 7-8,60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,posterior chain flush on pump day; does not compete with DL recovery (Wk07 Ch11 p47-48)
2,Wed,C,cool-down,Static stretch: pecs / front delts / lats / biceps / hamstrings,1,2/side,to slight discomfort,-,hold 20-30s,8 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
2,Thu,A,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
2,Thu,A,strength,Back Squat,6,4,80% 1RM (102.5 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Thu,A,strength,Bench Press,6,4,80% 1RM (115 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Thu,A,accessory,Bulgarian Split Squat,3,10/side,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
2,Thu,A,accessory,Dips,3,8-12,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
2,Thu,A,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
2,Fri,B,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
2,Fri,B,strength,Deadlift,6,4,80% 1RM (125 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Fri,B,strength,Military Press,6,4,80% 1RM (65 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Fri,B,strength,Weighted Pull-up,6,4,80% 1RM (32.5 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
2,Fri,B,accessory,Romanian Deadlift,3,10,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
2,Fri,B,accessory,Face Pull,3,15,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
2,Fri,B,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
3,Mon,A,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
3,Mon,A,strength,Back Squat,6,2,80% 1RM (102.5 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Mon,A,strength,Bench Press,6,2,80% 1RM (115 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Mon,A,accessory,Bulgarian Split Squat,3,10/side,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
3,Mon,A,accessory,Dips,3,8-12,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
3,Mon,A,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
3,Tue,B,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
3,Tue,B,strength,Deadlift,6,2,80% 1RM (125 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Tue,B,strength,Military Press,6,2,80% 1RM (65 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Tue,B,strength,Weighted Pull-up,6,2,80% 1RM (32.5 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Tue,B,accessory,Romanian Deadlift,3,10,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
3,Tue,B,accessory,Face Pull,3,15,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
3,Tue,B,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
3,Wed,C,warm-up,"Movement warm-up + shoulder mobility (band pull-aparts, face pull, arm circles)",1,-,bodyweight / light band,-,controlled,10 min,-,Session components Wk07 Ch11 p18
3,Wed,C,hypertrophy,Incline Dumbbell Press,4,8-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7 p20),push pattern; upper chest emphasis (Wk02 Ch2 p12); multi-joint first (Wk07 Ch11 p13)
3,Wed,C,hypertrophy,Cable Row (Seated or Single-arm),4,10-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5%,pull pattern; agonist/antagonist balance with pressing (Wk07 Ch11 p13)
3,Wed,C,hypertrophy,Dumbbell Shoulder Press (Seated),3,10-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5%,push pattern - vertical; hypertrophy dose (Wk07 Ch11 Table 9-12 p16)
3,Wed,C,hypertrophy,Cable Lateral Raise,3,12-15,RPE 7-8,45-60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,shoulder width; single-joint after multi-joint (Wk07 Ch11 p13)
3,Wed,C,hypertrophy,Cable Rear Delt Fly,3,12-15,RPE 7-8,45-60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,scapular stabilizer / posterior shoulder health (Wk10 Ch15 p92)
3,Wed,C,hypertrophy,EZ-Bar or Dumbbell Curl,3,10-12,RPE 7-8,60s,2-0-1,,double progression 8-12; 2-for-2 then +5%,biceps hypertrophy; single-joint isolation (Wk07 Ch11 p13)
3,Wed,C,hypertrophy,Tricep Rope Pushdown,3,12-15,RPE 7-8,60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,triceps hypertrophy; single-joint isolation
3,Wed,C,hypertrophy,Cable Pull-Through or Hamstring Curl,3,12-15,RPE 7-8,60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,posterior chain flush on pump day; does not compete with DL recovery (Wk07 Ch11 p47-48)
3,Wed,C,cool-down,Static stretch: pecs / front delts / lats / biceps / hamstrings,1,2/side,to slight discomfort,-,hold 20-30s,8 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
3,Thu,A,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
3,Thu,A,strength,Back Squat,6,5,80% 1RM (102.5 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Thu,A,strength,Bench Press,6,5,80% 1RM (115 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Thu,A,accessory,Bulgarian Split Squat,3,10/side,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
3,Thu,A,accessory,Dips,3,8-12,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
3,Thu,A,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
3,Fri,B,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
3,Fri,B,strength,Deadlift,6,5,80% 1RM (125 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Fri,B,strength,Military Press,6,5,80% 1RM (65 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Fri,B,strength,Weighted Pull-up,6,5,80% 1RM (32.5 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
3,Fri,B,accessory,Romanian Deadlift,3,10,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
3,Fri,B,accessory,Face Pull,3,15,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
3,Fri,B,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
4,Mon,A,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
4,Mon,A,strength,Back Squat,6,2,80% 1RM (102.5 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Mon,A,strength,Bench Press,6,2,80% 1RM (115 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Mon,A,accessory,Bulgarian Split Squat,3,10/side,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
4,Mon,A,accessory,Dips,3,8-12,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
4,Mon,A,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
4,Tue,B,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
4,Tue,B,strength,Deadlift,6,2,80% 1RM (125 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Tue,B,strength,Military Press,6,2,80% 1RM (65 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Tue,B,strength,Weighted Pull-up,6,2,80% 1RM (32.5 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Tue,B,accessory,Romanian Deadlift,3,10,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
4,Tue,B,accessory,Face Pull,3,15,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
4,Tue,B,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
4,Wed,C,warm-up,"Movement warm-up + shoulder mobility (band pull-aparts, face pull, arm circles)",1,-,bodyweight / light band,-,controlled,10 min,-,Session components Wk07 Ch11 p18
4,Wed,C,hypertrophy,Incline Dumbbell Press,4,8-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7 p20),push pattern; upper chest emphasis (Wk02 Ch2 p12); multi-joint first (Wk07 Ch11 p13)
4,Wed,C,hypertrophy,Cable Row (Seated or Single-arm),4,10-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5%,pull pattern; agonist/antagonist balance with pressing (Wk07 Ch11 p13)
4,Wed,C,hypertrophy,Dumbbell Shoulder Press (Seated),3,10-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5%,push pattern - vertical; hypertrophy dose (Wk07 Ch11 Table 9-12 p16)
4,Wed,C,hypertrophy,Cable Lateral Raise,3,12-15,RPE 7-8,45-60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,shoulder width; single-joint after multi-joint (Wk07 Ch11 p13)
4,Wed,C,hypertrophy,Cable Rear Delt Fly,3,12-15,RPE 7-8,45-60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,scapular stabilizer / posterior shoulder health (Wk10 Ch15 p92)
4,Wed,C,hypertrophy,EZ-Bar or Dumbbell Curl,3,10-12,RPE 7-8,60s,2-0-1,,double progression 8-12; 2-for-2 then +5%,biceps hypertrophy; single-joint isolation (Wk07 Ch11 p13)
4,Wed,C,hypertrophy,Tricep Rope Pushdown,3,12-15,RPE 7-8,60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,triceps hypertrophy; single-joint isolation
4,Wed,C,hypertrophy,Cable Pull-Through or Hamstring Curl,3,12-15,RPE 7-8,60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,posterior chain flush on pump day; does not compete with DL recovery (Wk07 Ch11 p47-48)
4,Wed,C,cool-down,Static stretch: pecs / front delts / lats / biceps / hamstrings,1,2/side,to slight discomfort,-,hold 20-30s,8 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
4,Thu,A,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
4,Thu,A,strength,Back Squat,6,6,80% 1RM (102.5 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Thu,A,strength,Bench Press,6,6,80% 1RM (115 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Thu,A,accessory,Bulgarian Split Squat,3,10/side,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
4,Thu,A,accessory,Dips,3,8-12,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
4,Thu,A,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
4,Fri,B,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
4,Fri,B,strength,Deadlift,6,6,80% 1RM (125 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Fri,B,strength,Military Press,6,6,80% 1RM (65 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Fri,B,strength,Weighted Pull-up,6,6,80% 1RM (32.5 kg),2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
4,Fri,B,accessory,Romanian Deadlift,3,10,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
4,Fri,B,accessory,Face Pull,3,15,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
4,Fri,B,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
5,Mon,A,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
5,Mon,A,strength,Back Squat,6,2,80% 1RM (102.5 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
5,Mon,A,strength,Bench Press,6,2,80% 1RM (115 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
